timestamp,y_true,yhat,lo,hi,z_resid,flag_z,flag_cusum
2020-09-20T05:00:00Z,33023.0,35417.292617675805,29217.358314060653,41617.22692129095,-0.5667756561073843,0,0
2020-09-20T06:00:00Z,34544.0,37494.973257546946,31116.490205115937,43873.456309977955,-0.7088356913855511,0,0
2020-09-20T07:00:00Z,37468.0,39725.2175225142,33173.049392467656,46277.38565256074,-0.5303289977585731,0,0
2020-09-20T08:00:00Z,39965.0,41106.42502189331,34385.05848305085,47827.791560735765,-0.24387580363819295,0,0
2020-09-20T09:00:00Z,42075.0,42395.47501327962,35509.06599355096,49281.884033008275,-0.03317384284428846,0,0
2020-09-20T10:00:00Z,44473.0,44115.311302907096,37067.72375938104,51162.89884643315,0.14124342658140288,0,0
2020-09-20T11:00:00Z,42672.0,43114.38591170857,35909.22448406589,50319.54733935125,-0.06316283061704298,0,0
2020-09-20T12:00:00Z,40606.0,42271.86130072016,34912.49908615751,49631.2235152828,-0.37574896496045374,0,0
2020-09-20T13:00:00Z,39094.0,39459.15642506649,37845.03920920016,41073.27364093281,-0.04225967234092465,0,0
2020-09-20T14:00:00Z,38129.0,38109.70160869311,35942.65264529269,40276.75057209353,0.056319600257837235,0,0
2020-09-20T15:00:00Z,38334.0,37607.14117267607,34959.96330947777,40254.319035874374,0.23770869198286843,0,0
2020-09-20T16:00:00Z,39790.0,38037.711895941546,35001.270252429305,41074.153539453786,0.5002977704758137,0,0
2020-09-20T17:00:00Z,41787.0,38532.76036143196,35145.14335243245,41920.377370431466,0.8846193534160384,0,0
2020-09-20T18:00:00Z,42873.0,38878.232905137826,35175.17980462834,42581.286005647315,1.074730438701618,0,0
2020-09-20T19:00:00Z,41431.0,37058.70490191507,33063.98435202268,41053.42545180747,1.1716669898699075,0,0
2020-09-20T20:00:00Z,41613.0,37159.67033261669,32893.61790864273,41425.72275659065,1.1923642997582242,0,0
2020-09-20T21:00:00Z,42237.0,36405.37207088487,31884.057452447974,40926.68668932177,1.5425393898562652,0,0
2020-09-20T22:00:00Z,39104.0,32755.76503315526,27992.92671726678,37518.60334904374,1.6716433095793548,0,0
2020-09-20T23:00:00Z,36771.0,30238.909279376618,25246.184672214786,35231.633886538446,1.715751688296363,0,1
2020-09-21T00:00:00Z,35369.0,28782.470579479457,23570.00241190447,33994.93874705444,1.7269050302574387,0,1
2020-09-21T01:00:00Z,33396.0,26714.233414719383,21290.912121376612,32137.554708062155,1.748842805756957,0,1
2020-09-21T02:00:00Z,33117.0,25821.137771763253,20194.862364189732,31447.413179336774,1.9027313175948168,0,1
2020-09-21T03:00:00Z,35357.0,26647.00578265533,20824.845649817275,32469.165915493388,2.2597472195225685,0,1
2020-09-21T04:00:00Z,40390.0,29142.102201434904,23130.437147975877,35153.76725489393,2.901668068154334,0,1
2020-09-21T05:00:00Z,44836.0,31087.25313940347,24891.87685767603,37282.62942113091,3.5307995197247584,1,1
2020-09-21T06:00:00Z,46968.0,32976.92498898133,26603.130456414976,39350.71952154768,3.5838878786186195,1,1
2020-09-21T07:00:00Z,48743.0,35404.117158011584,28856.764510180852,41951.46980584232,3.409035368160841,1,1
2020-09-21T08:00:00Z,49776.0,37145.04653273199,30428.61917630605,43861.47388915793,3.2214270018136983,1,1
2020-09-21T09:00:00Z,50688.0,38719.42977692855,31838.08061653153,45600.778937325565,3.0479524792453945,1,1
2020-09-21T10:00:00Z,51500.0,40625.275854711355,33582.86603570542,47667.68567371729,2.7693519422314736,0,1
2020-09-21T11:00:00Z,50670.0,39371.01268917501,32171.144227266963,46570.88115108304,2.872503524506618,0,1
2020-09-21T12:00:00Z,50089.0,38136.50581586191,30782.54935212223,45490.46227960158,3.03260628551538,1,1
2020-09-21T13:00:00Z,48919.0,48724.81631482869,47110.16041389061,50339.47221576677,0.08869753417124848,0,1
2020-09-21T14:00:00Z,47631.0,47532.99565227997,45364.7232971153,49701.26800744464,0.06445715825699333,0,1
2020-09-21T15:00:00Z,46902.0,47239.61807260323,44590.85619137314,49888.379953833326,-0.0448388777178174,0,1
2020-09-21T16:00:00Z,47919.0,48026.91622263435,44988.568880870494,51065.2635643982,0.012241872737643097,0,1
2020-09-21T17:00:00Z,49125.0,49016.231912464755,45626.435238278216,52406.02858665129,0.06595377456109129,0,1
2020-09-21T18:00:00Z,48285.0,49539.610881566994,45834.13602165823,53245.08574147576,-0.2754485209548368,0,1
2020-09-21T19:00:00Z,44974.0,47778.90356640536,43781.53879060647,51776.26834220425,-0.6630876101528212,0,1
2020-09-21T20:00:00Z,44499.0,47871.33677586621,43602.436089502386,52140.23746223004,-0.8043944789727856,0,1
2020-09-21T21:00:00Z,44655.0,47656.11844331461,43131.76424509171,52180.47264153751,-0.7112562538994771,0,1
2020-09-21T22:00:00Z,41351.0,44179.00390999312,39412.946365345575,48945.06145464067,-0.668212148709346,0,1
2020-09-21T23:00:00Z,39051.0,41723.37772305162,36727.2634544672,46719.491991636045,-0.6296279645499804,0,1
2020-09-22T00:00:00Z,37779.0,40286.107283601494,35070.08724731572,45502.127319887266,-0.5886128554525853,0,1
2020-09-22T01:00:00Z,35832.0,38252.11002123402,32825.0816501792,43679.138392288834,-0.5671923461513576,0,1
2020-09-22T02:00:00Z,35396.0,37570.71237947329,31940.580923908194,43200.84383503839,-0.5062816818369031,0,1
2020-09-22T03:00:00Z,37175.0,38913.10203458164,33086.9423932086,44739.26167595469,-0.39735605561021464,0,1
2020-09-22T04:00:00Z,41987.0,42325.24332211625,36309.44025819299,48341.04638603951,-0.04722161294916533,0,1
2020-09-22T05:00:00Z,46552.0,45174.6921841497,38975.043860919526,51374.34050737988,0.381640184555022,0,1
2020-09-22T06:00:00Z,48604.0,47170.78006008093,40792.5835237349,53548.97659642695,0.3947892937285294,0,1
